,RD_KIT_Desc,Synthesis_Metric,P_Value
0,Chi4n,avg,0.04991394077578085
1,VSA_EState2,Polar_dispersity,0.0496896305745815
2,EState_VSA8,Solvent,0.04966215141530126
3,TPSA,Comp,0.04922222611560648
4,NOCount,Avg_area,0.04907518719682184
5,PEOE_VSA6,avg,0.04898124189110871
6,MinEStateIndex,kur,0.04882794607672691
7,VSA_EState2,Area_Sphere_Substance,0.04881672730353865
8,NumAliphaticHeterocycles,sa,0.04837475480194048
9,NumAliphaticRings,sa,0.04837475480194048
10,EState_VSA2,kur,0.04829773192566549
11,TPSA,sq,0.04797643411394218
12,SlogP_VSA4,Full_molecule,0.04775234245613985
13,EState_VSA8,Avg_roundness,0.04726631163973458
14,EState_VSA8,Avg_area,0.046882525919118644
15,AvgIpc,Solvent,0.04636547706074549
16,EState_VSA10,ssk,0.046286166393865
17,VSA_EState8,Conc of comp,0.04622913764187385
18,SlogP_VSA4,hydrophbic_section,0.04616067941641613
19,EState_VSA8,Full_molecule,0.045903991519771224
20,SlogP_VSA4,hydrophilic_section,0.04578494719340046
21,EState_VSA8,hydrophbic_section,0.04542988235493031
22,EState_VSA8,hydrophilic_section,0.04531526754376572
23,PEOE_VSA11,sa,0.04531256283206605
24,VSA_EState2,Conc of comp,0.045300174743229546
25,NOCount,Avg_roundness,0.04510567799546317
26,VSA_EState1,kur,0.044982378303376175
27,HeavyAtomCount,Std_dev_(mps),0.0448642206435416
28,EState_VSA8,Polar_dispersity,0.04433913205465844
29,EState_VSA8,Area_Sphere_Substance,0.044045362553211384
30,EState_VSA10,Solvent,0.04402800672617666
31,MinEStateIndex,hydrophilic_section,0.04382671038558999
32,RingCount,Avg_area,0.04381096851770555
33,SMR_VSA5,sa,0.04339127141393235
34,MaxAbsPartialCharge,ssk,0.043286095956413945
35,fr_nitro_arom_nonortho,sa,0.043275441612742466
36,fr_nitro_arom,sa,0.043275441612742466
37,NumRotatableBonds,sa,0.043275441612742466
38,fr_NH0,sa,0.043275441612742466
39,fr_nitro,sa,0.043275441612742466
40,TPSA,mean_particle_size_(mps),0.04289392152793541
41,EState_VSA8,Conc of comp,0.04282995413714646
42,FpDensityMorgan3,sa,0.042822409235644524
43,VSA_EState8,T of comp,0.042755736530319804
44,VSA_EState8,T of solv,0.042755736530319804
45,VSA_EState3,kur,0.04271398047556284
46,SlogP_VSA3,kur,0.042698235948048724
47,RingCount,Solvent,0.04267141061892114
48,SlogP_VSA4,Polar_dispersity,0.042655392044564866
49,NumAliphaticHeterocycles,sq,0.04236657687231331
50,NumAliphaticRings,sq,0.04236657687231331
51,Kappa1,sa,0.042102693837577254
52,NumAromaticRings,avg,0.04183490703450531
53,fr_benzene,avg,0.04183490703450531
54,NumAromaticCarbocycles,avg,0.04183490703450531
55,SlogP_VSA4,Area_Sphere_Substance,0.04173127712279474
56,BCUT2D_LOGPHI,avg,0.04172997827751414
57,AvgIpc,avg,0.041401887243248135
58,BalabanJ,avg,0.041021125055854424
59,SlogP_VSA2,sa,0.040706990495231715
60,SlogP_VSA12,Std_dev_(mps),0.04055376187093752
61,SlogP_VSA5,Std_dev_(mps),0.040313706663365555
62,VSA_EState4,sa,0.04030867929125405
63,PEOE_VSA11,sq,0.04021383997572742
64,qed,ssk,0.040092169241228014
65,BCUT2D_CHGHI,avg,0.04001776370246698
66,fr_phenol,Solvent,0.03962907033349682
67,NumHDonors,Solvent,0.03962907033349682
